Feature,Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,MCC,ROC-AUC,PR-AUC,Time (s)
Custom,RF,0.9355,0.7362,0.8805,0.7362,0.7868,0.5995,0.8738,0.6608,5.15
Custom,ET,0.9291,0.6965,0.8776,0.6965,0.7511,0.5448,0.8708,0.6409,8.74
Custom,MLP,0.9348,0.7364,0.8753,0.7364,0.7857,0.5957,0.8712,0.6596,2.73
Custom,KNN,0.9255,0.6968,0.8484,0.6968,0.7456,0.5238,0.794,0.4865,1.59
Custom,LR,0.9263,0.6792,0.8772,0.6792,0.7342,0.52,0.8485,0.615,0.19
Custom,XGB,0.9329,0.7377,0.8612,0.7377,0.783,0.586,0.8652,0.6465,1.92
Custom,LGBM,0.937,0.7487,0.8779,0.7487,0.7962,0.6131,0.8772,0.6782,0.47
Custom_V2,RF,0.9238,0.7662,0.8009,0.7662,0.7821,0.566,0.8716,0.5859,29.66
Custom_V2,ET,0.9253,0.7553,0.8104,0.7553,0.7792,0.5631,0.8789,0.6278,27.12
Custom_V2,MLP,0.8685,0.6944,0.6634,0.6944,0.6767,0.3564,0.7542,0.469,28.79
Custom_V2,KNN,0.7762,0.7617,0.622,0.7617,0.6347,0.3574,0.8109,0.3246,2.73
Custom_V2,LR,0.8195,0.8034,0.6547,0.8034,0.6821,0.4333,0.8771,0.6162,1.22
Custom_V2,XGB,0.9175,0.7363,0.7844,0.7363,0.7573,0.5185,0.8542,0.5865,1.32
Custom_V2,LGBM,0.932,0.7684,0.8349,0.7684,0.7968,0.5997,0.8774,0.6471,1.37
